raceId,driverId,lapNumber,compound
2025_R01,LEC,22.0,INTERMEDIATE
2025_R01,LEC,23.0,INTERMEDIATE
2025_R01,LEC,24.0,INTERMEDIATE
2025_R01,LEC,25.0,INTERMEDIATE
2025_R01,LEC,26.0,INTERMEDIATE
2025_R01,LEC,27.0,INTERMEDIATE
2025_R01,LEC,28.0,INTERMEDIATE
2025_R01,LEC,29.0,INTERMEDIATE
2025_R01,LEC,30.0,INTERMEDIATE
2025_R01,LEC,31.0,INTERMEDIATE
2025_R01,LEC,32.0,INTERMEDIATE
2025_R01,LEC,33.0,INTERMEDIATE
2025_R01,LEC,34.0,INTERMEDIATE
2025_R01,LEC,35.0,HARD
2025_R01,LEC,36.0,HARD
2025_R01,LEC,37.0,HARD
2025_R01,LEC,38.0,HARD
2025_R01,LEC,39.0,HARD
2025_R01,LEC,40.0,HARD
2025_R01,LEC,41.0,HARD
2025_R01,LEC,42.0,HARD
2025_R01,LEC,43.0,HARD
2025_R01,LEC,44.0,HARD
2025_R01,LEC,45.0,HARD
2025_R01,LEC,46.0,HARD
2025_R01,LEC,47.0,HARD
2025_R01,LEC,48.0,INTERMEDIATE
2025_R01,LEC,49.0,INTERMEDIATE
2025_R01,LEC,50.0,INTERMEDIATE
2025_R01,LEC,51.0,INTERMEDIATE
2025_R01,LEC,52.0,INTERMEDIATE
2025_R01,LEC,53.0,INTERMEDIATE
2025_R01,LEC,54.0,INTERMEDIATE
2025_R01,LEC,55.0,INTERMEDIATE
2025_R01,LEC,56.0,INTERMEDIATE
2025_R01,LEC,57.0,INTERMEDIATE
2025_R01,STR,1.0,INTERMEDIATE
2025_R01,STR,2.0,INTERMEDIATE
2025_R01,STR,3.0,INTERMEDIATE
2025_R01,STR,4.0,INTERMEDIATE
2025_R01,STR,5.0,INTERMEDIATE
2025_R01,STR,6.0,INTERMEDIATE
2025_R01,STR,7.0,INTERMEDIATE
2025_R01,STR,8.0,INTERMEDIATE
2025_R01,STR,9.0,INTERMEDIATE
2025_R01,STR,10.0,INTERMEDIATE
2025_R01,STR,11.0,INTERMEDIATE
2025_R01,STR,12.0,INTERMEDIATE
2025_R01,STR,13.0,INTERMEDIATE
2025_R01,STR,14.0,INTERMEDIATE
2025_R01,STR,15.0,INTERMEDIATE
2025_R01,STR,16.0,INTERMEDIATE
2025_R01,STR,17.0,INTERMEDIATE
2025_R01,STR,18.0,INTERMEDIATE
2025_R01,STR,19.0,INTERMEDIATE
2025_R01,STR,20.0,INTERMEDIATE
2025_R01,STR,21.0,INTERMEDIATE
2025_R01,STR,22.0,INTERMEDIATE
2025_R01,STR,23.0,INTERMEDIATE
2025_R01,STR,24.0,INTERMEDIATE
2025_R01,STR,25.0,INTERMEDIATE
2025_R01,STR,26.0,INTERMEDIATE
2025_R01,STR,27.0,INTERMEDIATE
2025_R01,STR,28.0,INTERMEDIATE
2025_R01,STR,29.0,INTERMEDIATE
2025_R01,STR,30.0,INTERMEDIATE
2025_R01,STR,31.0,INTERMEDIATE
2025_R01,STR,32.0,INTERMEDIATE
2025_R01,STR,33.0,INTERMEDIATE
2025_R01,STR,34.0,HARD
2025_R01,STR,35.0,HARD
2025_R01,STR,36.0,HARD
2025_R01,STR,37.0,HARD
2025_R01,STR,38.0,HARD
2025_R01,STR,39.0,HARD
2025_R01,STR,40.0,HARD
2025_R01,STR,41.0,HARD
2025_R01,STR,42.0,HARD
2025_R01,STR,43.0,HARD
2025_R01,STR,44.0,HARD
2025_R01,STR,45.0,INTERMEDIATE
2025_R01,STR,46.0,INTERMEDIATE
2025_R01,STR,47.0,INTERMEDIATE
2025_R01,STR,48.0,INTERMEDIATE
2025_R01,STR,49.0,INTERMEDIATE
2025_R01,STR,50.0,INTERMEDIATE
2025_R01,STR,51.0,INTERMEDIATE
2025_R01,STR,52.0,INTERMEDIATE
2025_R01,STR,53.0,INTERMEDIATE
2025_R01,STR,54.0,INTERMEDIATE
2025_R01,STR,55.0,INTERMEDIATE
2025_R01,STR,56.0,INTERMEDIATE
2025_R01,STR,57.0,INTERMEDIATE
2025_R01,TSU,1.0,INTERMEDIATE
2025_R01,TSU,2.0,INTERMEDIATE
2025_R01,TSU,3.0,INTERMEDIATE
2025_R01,TSU,4.0,INTERMEDIATE
2025_R01,TSU,5.0,INTERMEDIATE
2025_R01,TSU,6.0,INTERMEDIATE
2025_R01,TSU,7.0,INTERMEDIATE
2025_R01,TSU,8.0,INTERMEDIATE
2025_R01,TSU,9.0,INTERMEDIATE
2025_R01,TSU,10.0,INTERMEDIATE
2025_R01,TSU,11.0,INTERMEDIATE
2025_R01,TSU,12.0,INTERMEDIATE
2025_R01,TSU,13.0,INTERMEDIATE
2025_R01,TSU,14.0,INTERMEDIATE
2025_R01,TSU,15.0,INTERMEDIATE
2025_R01,TSU,16.0,INTERMEDIATE
2025_R01,TSU,17.0,INTERMEDIATE
2025_R01,TSU,18.0,INTERMEDIATE
2025_R01,TSU,19.0,INTERMEDIATE
2025_R01,TSU,20.0,INTERMEDIATE
2025_R01,TSU,21.0,INTERMEDIATE
2025_R01,TSU,22.0,INTERMEDIATE
2025_R01,TSU,23.0,INTERMEDIATE
2025_R01,TSU,24.0,INTERMEDIATE
2025_R01,TSU,25.0,INTERMEDIATE
2025_R01,TSU,26.0,INTERMEDIATE
2025_R01,TSU,27.0,INTERMEDIATE
2025_R01,TSU,28.0,INTERMEDIATE
2025_R01,TSU,29.0,INTERMEDIATE
2025_R01,TSU,30.0,INTERMEDIATE
2025_R01,TSU,31.0,INTERMEDIATE
2025_R01,TSU,32.0,INTERMEDIATE
2025_R01,TSU,33.0,INTERMEDIATE
2025_R01,TSU,34.0,MEDIUM
2025_R01,TSU,35.0,MEDIUM
2025_R01,TSU,36.0,MEDIUM
2025_R01,TSU,37.0,MEDIUM
2025_R01,TSU,38.0,MEDIUM
2025_R01,TSU,39.0,MEDIUM
2025_R01,TSU,40.0,MEDIUM
2025_R01,TSU,41.0,MEDIUM
2025_R01,TSU,42.0,MEDIUM
2025_R01,TSU,43.0,MEDIUM
2025_R01,TSU,44.0,MEDIUM
2025_R01,TSU,45.0,MEDIUM
2025_R01,TSU,46.0,MEDIUM
2025_R01,TSU,47.0,MEDIUM
2025_R01,TSU,48.0,INTERMEDIATE
2025_R01,TSU,49.0,INTERMEDIATE
2025_R01,TSU,50.0,INTERMEDIATE
2025_R01,TSU,51.0,INTERMEDIATE
2025_R01,TSU,52.0,INTERMEDIATE
2025_R01,TSU,53.0,INTERMEDIATE
2025_R01,TSU,54.0,INTERMEDIATE
2025_R01,TSU,55.0,INTERMEDIATE
2025_R01,TSU,56.0,INTERMEDIATE
2025_R01,TSU,57.0,INTERMEDIATE
2025_R01,ALB,1.0,INTERMEDIATE
2025_R01,ALB,2.0,INTERMEDIATE
2025_R01,ALB,3.0,INTERMEDIATE
2025_R01,ALB,4.0,INTERMEDIATE
2025_R01,ALB,5.0,INTERMEDIATE
2025_R01,ALB,6.0,INTERMEDIATE
2025_R01,ALB,7.0,INTERMEDIATE
2025_R01,ALB,8.0,INTERMEDIATE
2025_R01,ALB,9.0,INTERMEDIATE
2025_R01,ALB,10.0,INTERMEDIATE
2025_R01,ALB,11.0,INTERMEDIATE
2025_R01,ALB,12.0,INTERMEDIATE
2025_R01,ALB,13.0,INTERMEDIATE
2025_R01,ALB,14.0,INTERMEDIATE
2025_R01,ALB,15.0,INTERMEDIATE
2025_R01,ALB,16.0,INTERMEDIATE
2025_R01,ALB,17.0,INTERMEDIATE
2025_R01,ALB,18.0,INTERMEDIATE
2025_R01,ALB,19.0,INTERMEDIATE
2025_R01,ALB,20.0,INTERMEDIATE
2025_R01,ALB,21.0,INTERMEDIATE
2025_R01,ALB,22.0,INTERMEDIATE
2025_R01,ALB,23.0,INTERMEDIATE
2025_R01,ALB,24.0,INTERMEDIATE
2025_R01,ALB,25.0,INTERMEDIATE
2025_R01,ALB,26.0,INTERMEDIATE
2025_R01,ALB,27.0,INTERMEDIATE
2025_R01,ALB,28.0,INTERMEDIATE
2025_R01,ALB,29.0,INTERMEDIATE
2025_R01,ALB,30.0,INTERMEDIATE
2025_R01,ALB,31.0,INTERMEDIATE
2025_R01,ALB,32.0,INTERMEDIATE
2025_R01,ALB,33.0,INTERMEDIATE
2025_R01,ALB,34.0,MEDIUM
2025_R01,ALB,35.0,MEDIUM
2025_R01,ALB,36.0,MEDIUM
2025_R01,ALB,37.0,MEDIUM
2025_R01,ALB,38.0,MEDIUM
2025_R01,ALB,39.0,MEDIUM
2025_R01,ALB,40.0,MEDIUM
2025_R01,ALB,41.0,MEDIUM
2025_R01,ALB,42.0,MEDIUM
2025_R01,ALB,43.0,MEDIUM
2025_R01,ALB,44.0,MEDIUM
2025_R01,ALB,45.0,INTERMEDIATE
2025_R01,ALB,46.0,INTERMEDIATE
